pops,string_tree,no_admixes,topology
s1-s1.s2-s1.s2.s3-s2-s2.s3-s3,s1=s2=s3=w.a.w-c.0.c.2-c.0;0.013383947-0.079969527-0.000363234-0.034258336-0.010556908-0.017323518-0.074788943;0.555,1,w.a.w-c.0.c.2-c.0
s1-s1.s2-s1.s2.s3-s2-s2.s3-s3,s1=s2=s3=w.a.w-c.0.c.2-c.0;0.000675538-0.078092480-0.016527683-0.033272803-0.053925448-0.016228044-0.074454964;0.567,1,w.a.w-c.0.c.2-c.0
s1-s1.s2-s1.s2.s3-s2-s2.s3-s3,s1=s2=s3=w.a.w-c.0.c.2-c.0;0.000586383-0.078092480-0.011237304-0.033272803-0.063490197-0.016574940-0.072185977;0.567,1,w.a.w-c.0.c.2-c.0
s1-s1.s2-s1.s2.s3-s2-s2.s3-s3,s1=s2=s3=w.a.w-c.0.c.2-c.0;0.014686061-0.078092480-0.003976495-0.033272803-0.000680256-0.016574940-0.072185977;0.567,1,w.a.w-c.0.c.2-c.0
s1-s1.s2-s1.s2.s3-s2-s2.s3-s3,s1=s2=s3=w.a.w-c.0.c.2-c.0;0.006013040-0.078092480-0.010943927-0.033272803-0.033892341-0.016574940-0.073570471;0.566,1,w.a.w-c.0.c.2-c.0
s1-s1.s2-s1.s2.s3-s2-s2.s3-s3,s1=s2=s3=w.a.w-c.0.c.2-c.0;0.008960759-0.077647051-0.012907115-0.031853257-0.014022594-0.016900148-0.075282981;0.567,1,w.a.w-c.0.c.2-c.0
s1-s1.s2-s1.s2.s3-s2-s2.s3-s3,s1=s2=s3=w.a.w-c.0.c.2-c.0;0.008430180-0.077529172-0.000320447-0.034388125-0.029326526-0.018187926-0.072943551;0.543,1,w.a.w-c.0.c.2-c.0
s1-s1.s2-s1.s2.s3-s2-s2.s3-s3,s1=s2=s3=w.a.w-c.0.c.2-c.0;0.001562820-0.077529172-0.036122020-0.038721178-0.011747066-0.018187926-0.068610499;0.543,1,w.a.w-c.0.c.2-c.0
s1-s1.s2-s1.s2.s3-s2-s2.s3-s3,s1=s2=s3=w.a.w-c.0.c.2-c.0;0.001562820-0.077529172-0.036603153-0.038721178-0.011747066-0.017706792-0.068610499;0.529,1,w.a.w-c.0.c.2-c.0
s1-s1.s2-s1.s2.s3-s2-s2.s3-s3,s1=s2=s3=w.a.w-c.0.c.2-c.0;0.005725788-0.077772554-0.018647566-0.037459545-0.005768907-0.017444875-0.066693435;0.549,1,w.a.w-c.0.c.2-c.0
