,add,admixtures,average_branch_length,average_root,descendant_sets,ghost_pops,iteration,likelihood,max_root,mhr,min_root,no_admixes,posterior,prior,proposal_type,rescale_adap_param,rescale_add_adap_param,rescale_admixtures_adap_param,rescale_constrained_adap_param,sliding_regraft_adap_param,total_branch_length,tree,origin,layer
1,0.2929335334703872,x2b;0.449,0.032735272813014714,0.08452615824005327,s1-s1.s2-s1.s2.s3.s4-s2-s2.s3-s2.s3.s4-s3-s4,0,18440,23.678451885871254,0.10720471078699562,0.0,0.03276015818357013,1,10.035071767770928,-13.643380118100326,rescale_constrained,,,,0.28470785070894633,,0.2946174553171324,w.a.w.w-c.0.c.w.2-w.c.1-c.0;0.010125080-0.078171207-0.001943482-0.046758464-0.006756272-0.055450948-0.069725107-0.020691596-0.004995299;0.449,3,0
0,0.3034296805510678,x2b;0.449,0.032010136387788726,0.08179419205674096,s1-s1.s2-s1.s2.s3.s4-s2-s2.s3-s2.s3.s4-s3-s4,0,18480,22.261463682507383,0.10516475271721845,2.3493030430362786e-09,0.03095670430988572,1,8.656154072270086,-13.605309610237297,rescale_add,,0.07864304082525243,,,,0.2880912274900985,w.a.w.w-c.0.c.w.2-w.c.1-c.0;0.009403322-0.076429104-0.002902794-0.047084627-0.007648605-0.054334747-0.067892062-0.018650588-0.003745378;0.449,3,0
0,0.2639484054374397,x2b;0.476,0.03483461675456682,0.0833191179495066,s1-s1.s2-s1.s2.s3.s4-s2-s2.s3-s2.s3.s4-s3-s4,0,18520,19.054962383414022,0.10551207223116224,0.0,0.03427352585279413,1,5.299961971703745,-13.755000411710277,sliding_regraft,,,,,0.2808715675942811,0.3135115507911014,w.a.w.w-c.0.c.w.2-w.c.1-c.0;0.000582290-0.076429104-0.016827202-0.047084627-0.029752106-0.054334747-0.067544742-0.016864033-0.004092698;0.476,3,0
0,0.2764918242844561,x2b;0.460,0.034752221284554394,0.08525148812261003,s1-s1.s2-s1.s2.s3.s4-s2-s2.s3-s2.s3.s4-s3-s4,0,18560,21.912675892332118,0.10694395163279886,1.0191291520521035,0.027338951973281345,1,8.150650571425984,-13.762025320906133,rescale_constrained,,,,0.27825218650668887,,0.31276999156098956,w.a.w.w-c.0.c.w.2-w.c.1-c.0;0.000705874-0.075896893-0.007792070-0.045751646-0.034088656-0.054776636-0.068501539-0.018841008-0.006415669;0.460,3,0
0,0.24234898606613758,x2b;0.450,0.03521688147595399,0.08629608719506715,s1-s1.s2-s1.s2.s3.s4-s2-s2.s3-s2.s3.s4-s3-s4,0,18600,21.741640907848705,0.10862058884585682,1.4288291504673534e-217,0.03632291990260163,1,7.982637396900934,-13.759003510947771,deladmix,,,,,,0.3169519332835859,w.a.w.w-c.0.c.w.2-w.c.1-c.0;0.002867037-0.076267663-0.014807941-0.046290669-0.024266978-0.057724751-0.071473783-0.018647941-0.004605169;0.450,3,0
1,0.27198561157759943,x2b;0.469,0.032674312134665505,0.08425969682378968,s1-s1.s2-s1.s2.s3.s4-s2-s2.s3-s2.s3.s4-s3-s4,0,18640,25.506709360675814,0.10920344093369057,1.6143884509636433e-213,0.03204418464274285,1,11.888360059944938,-13.618349300730875,deladmix,,,,,,0.2940688092119895,w.a.w.w-c.0.c.w.2-w.c.1-c.0;0.011041690-0.079437162-0.000295574-0.047585640-0.002336219-0.059818313-0.071047802-0.020706921-0.001799488;0.469,3,0
0,0.2707524861319696,x2b;0.478,0.03541178607713043,0.08566794932196996,s1-s1.s2-s1.s2.s3.s4-s2-s2.s3-s2.s3.s4-s3-s4,0,18680,25.187104853326673,0.1088354559794861,0.0,0.02557714003012554,1,11.386643933858084,-13.80046091946859,rescale_constrained,,,,0.2797438667654808,,0.31870607469417384,w.a.w.w-c.0.c.w.2-w.c.1-c.0;0.001593011-0.080004336-0.005375854-0.047295855-0.032031362-0.060448639-0.072257780-0.018608275-0.001090962;0.478,3,0
0,0.2683798478451331,x2b;0.464,0.034093718102875675,0.08377249257228338,s1-s1.s2-s1.s2.s3.s4-s2-s2.s3-s2.s3.s4-s3-s4,0,18720,24.844296362271052,0.10492470271774615,1.104175741454359,0.037534532273705304,1,11.134486852188175,-13.709809510082877,rescale_constrained,,,,0.2776295089754444,,0.3068434629258811,w.a.w.w-c.0.c.w.2-w.c.1-c.0;0.006319420-0.080004336-0.012606838-0.047295855-0.012122112-0.056537885-0.072257780-0.018608275-0.001090962;0.464,3,0
0,0.2586479185487811,x2b;0.469,0.034629283301774866,0.08611891462555524,s1-s1.s2-s1.s2.s3.s4-s2-s2.s3-s2.s3.s4-s3-s4,0,18760,23.14212489869351,0.11034941327624424,1.0318571493912687,0.03814488749420992,1,9.406177363909446,-13.735947534784064,sliding_regraft,,,,,0.2822106124624206,0.31166354971597376,w.a.w.w-c.0.c.w.2-w.c.1-c.0;0.006815779-0.080339969-0.012129745-0.046596066-0.010019617-0.062648905-0.072809663-0.019199364-0.001104442;0.469,3,0
0,0.27507861297625097,x2b;0.491,0.034629283301774866,0.08554831713856872,s1-s1.s2-s1.s2.s3.s4-s2-s2.s3-s2.s3.s4-s3-s4,0,18800,22.65419750680121,0.11075265834180158,2.900941735732556e-15,0.034552341433760056,1,8.901819277589677,-13.752378229211534,rescale_add,,0.08103703491733816,,,,0.31166354971597376,w.a.w.w-c.0.c.w.2-w.c.1-c.0;0.006815779-0.083932515-0.012129745-0.046596066-0.009616372-0.063052150-0.072809663-0.015606818-0.001104442;0.491,3,0
