,iteration,posterior,mhr,no_admixes,tree_identifier,average_branch_length,total_branch_length,tree_identifier_new_tree,backward_choices,backward_density,forward_density,forward_choices,proposal_type,prior,branch_prior,no_admix_prior,top_prior,origin,layer
75,75,-13.0173269137,0.332665984642,0,c.0.w-c.0,1.05984356495,7.41890495467,w.a.w-c.0.w.w-c.w.0-c.0,2.0,1,0.156862478489524,16.0,addadmix,-13.0173269137,-7.41890495467,-1.38629436112,-4.21212759788,1,1
76,76,-13.0173269137,0.363300082046,1,w.a.w-c.0.w.w-c.w.0-c.0,0.850375642994,8.50375642994,w.a.w-c.0.w.a-c.w.w.0-c.w.0-c.0,3.0,1,0.22198627172357635,42.0,addadmix,-18.1740500953,-8.50375642994,-2.07944154168,-7.59085212369,1,1
77,77,-8.80851167349,1.10642798112,1,w.a.w-c.0.w.w-c.w.0-c.0,1.75418805106,7.01675220426,c.0.w-c.0,16.0,0.13156728210620705,1.0,2.0,deladmix,-8.80851167349,-7.01675220426,-0.69314718056,-1.09861228867,1,1
78,78,-8.80851167349,0.446347373034,0,c.0.w-c.0,1.48266451049,10.3786515734,c.0.w-a.w-c.0.w-c.0,2.0,1,0.034521539425612438,8.0,addadmix,-14.36763562,-10.3786515734,-1.38629436112,-2.60268968544,1,1
79,79,-8.31581801483,1.0,0,c.0.w-c.0,1.6310146364,6.5240585456,c.0.w-c.0,,,,,regraft,-8.31581801483,-6.5240585456,-0.69314718056,-1.09861228867,1,1
80,80,-8.31581801483,0.545555875857,0,c.0.w-c.0,1.05360628983,7.37524402883,a.w.w-c.0.w.w-c.0.w-c.0,2.0,1,0.13911471716229282,16.0,addadmix,-12.9736659878,-7.37524402883,-1.38629436112,-4.21212759788,1,1
81,81,-8.31581801483,1.0,0,c.0.w-c.0,1.6310146364,6.5240585456,c.0.w-c.0,,,,,regraft,-8.31581801483,-6.5240585456,-0.69314718056,-1.09861228867,1,1
82,82,-7.60915777548,1.46160381044,0,c.0.w-c.0,1.45434957656,5.81739830625,w.c.1-c.0,,,,,regraft,-7.60915777548,-5.81739830625,-0.69314718056,-1.09861228867,1,1
83,83,-6.95575730523,0.808203340183,0,w.c.1-c.0,1.290999459,5.163997836,c.0.w-c.0,,,,,regraft,-6.95575730523,-5.163997836,-0.69314718056,-1.09861228867,1,1
84,84,-6.95575730523,1.0,0,c.0.w-c.0,1.290999459,5.163997836,c.0.w-c.0,,,,,deladmix,-6.95575730523,-5.163997836,-0.69314718056,-1.09861228867,1,1
85,85,-6.22080073156,1.0,0,c.0.w-c.0,1.10726031558,4.42904126234,c.0.w-c.0,,,,,regraft,-6.22080073156,-4.42904126234,-0.69314718056,-1.09861228867,1,1
86,86,-6.22083292074,0.999967811344,0,c.0.w-c.0,1.10726836288,4.42907345151,c.0.w-c.0,,,,,rescale,-6.22083292074,-4.42907345151,-0.69314718056,-1.09861228867,1,1
87,87,-5.53948934897,3.07010192767,0,c.0.w-c.0,0.936932469935,3.74772987974,c.w.0-c.0,,,,,regraft,-5.53948934897,-3.74772987974,-0.69314718056,-1.09861228867,1,1
88,88,-5.54183048801,0.997661599283,0,c.w.0-c.0,0.937517754696,3.75007101879,c.w.0-c.0,,,,,rescale,-5.54183048801,-3.75007101879,-0.69314718056,-1.09861228867,1,1
89,89,-5.81477263801,1.0,0,c.w.0-c.0,1.0057532922,4.02301316878,c.w.0-c.0,,,,,regraft,-5.81477263801,-4.02301316878,-0.69314718056,-1.09861228867,1,1
90,90,-5.43239116232,2.71054258615,0,c.w.0-c.0,0.910157923274,3.6406316931,c.0.w-c.0,,,,,regraft,-5.43239116232,-3.6406316931,-0.69314718056,-1.09861228867,1,1
91,91,-5.43239116232,0.0725121756615,0,c.0.w-c.0,0.737207577613,5.16045304329,w.a.w-c.0.w.w-c.0.w-c.0,2.0,1,0.53631076138139622,16.0,addadmix,-10.7588750023,-5.16045304329,-1.38629436112,-4.21212759788,1,1
92,92,-5.4254671447,1.00694804406,0,c.0.w-c.0,0.908426918867,3.63370767547,c.0.w-c.0,,,,,rescale,-5.4254671447,-3.63370767547,-0.69314718056,-1.09861228867,1,1
93,93,-9.94440342551,0.118281452439,0,c.0.w-c.0,0.652732145404,4.56912501783,c.0.a-c.0.w-c.0,2.0,1,0.73726606969205111,16.0,addadmix,-9.94440342551,-4.56912501783,-1.38629436112,-3.98898404656,1,1
94,94,-6.29293547707,2.25737950389,1,c.0.a-c.0.w-c.0,1.12529400196,4.50117600785,c.0.w-c.0,16.0,0.4686862186767819,1.0,2.0,deladmix,-6.29293547707,-4.50117600785,-0.69314718056,-1.09861228867,1,1
95,95,-6.29293547707,0.0794712745507,0,c.0.w-c.0,0.692666556168,4.84866589318,w.a.w-c.w.w.0-c.0.w-c.0,2.0,1,1.5803539099589046,16.0,addadmix,-10.4470878522,-4.84866589318,-1.38629436112,-4.21212759788,1,1
96,96,-10.9052981706,0.136925354993,0,c.0.w-c.0,0.758125173084,5.30687621159,w.a.w-c.0.w.w-c.w.0-c.0,2.0,1,0.58007272456401848,16.0,addadmix,-10.9052981706,-5.30687621159,-1.38629436112,-4.21212759788,1,1
97,97,-10.9331542879,0.972528286723,1,w.a.w-c.0.w.w-c.w.0-c.0,0.762104618414,5.33473232889,w.a.w-c.0.w.w-c.w.0-c.0,,,,,rescale,-10.9331542879,-5.33473232889,-1.38629436112,-4.21212759788,1,1
98,98,-6.84524025661,2.16929248295,1,w.a.w-c.0.w.w-c.w.0-c.0,1.26337019685,5.05348078738,c.0.w-c.0,16.0,0.29110495115555418,1.0,2.0,deladmix,-6.84524025661,-5.05348078738,-0.69314718056,-1.09861228867,1,1
99,99,-7.58213800905,1.0,0,c.0.w-c.0,1.44759463496,5.79037853982,c.0.w-c.0,,,,,regraft,-7.58213800905,-5.79037853982,-0.69314718056,-1.09861228867,1,1
100,100,-7.58213800905,0.15439071137,0,c.0.w-c.0,0.837238457496,5.86066920247,a.w.w-c.0.w.w-c.w.0-c.0,2.0,1,1.0733205833882025,16.0,addadmix,-11.4590911615,-5.86066920247,-1.38629436112,-4.21212759788,1,1
101,101,-7.26963652469,2.77901960447,0,c.0.w-c.0,1.36946926387,5.47787705547,c.w.0-c.0,,,,,regraft,-7.26963652469,-5.47787705547,-0.69314718056,-1.09861228867,1,1
102,102,-7.26963652469,0.0198905002606,0,c.w.0-c.0,1.13812652707,7.96688568949,a.w.w-c.c.0.1-c.0,2.0,1,0.74176963643416294,16.0,addadmix,-13.5653076485,-7.96688568949,-1.38629436112,-4.21212759788,1,1
103,103,-7.27484132402,0.994808722173,0,c.w.0-c.0,1.3707704637,5.48308185479,c.w.0-c.0,,,,,rescale,-7.27484132402,-5.48308185479,-0.69314718056,-1.09861228867,1,1
104,104,-7.27484132402,1.0,0,c.w.0-c.0,1.3707704637,5.48308185479,c.w.0-c.0,,,,,deladmix,-7.27484132402,-5.48308185479,-0.69314718056,-1.09861228867,1,1
105,105,-6.35822147455,1.0,0,c.w.0-c.0,1.14161550133,4.56646200532,c.w.0-c.0,,,,,regraft,-6.35822147455,-4.56646200532,-0.69314718056,-1.09861228867,1,1
106,106,-7.32883904613,1.0,0,c.w.0-c.0,1.38426989423,5.53707957691,c.w.0-c.0,,,,,regraft,-7.32883904613,-5.53707957691,-0.69314718056,-1.09861228867,1,1
107,107,-7.31176199131,1.0172237013,0,c.w.0-c.0,1.38000063052,5.52000252208,c.w.0-c.0,,,,,rescale,-7.31176199131,-5.52000252208,-0.69314718056,-1.09861228867,1,1
108,108,-7.31176199131,1.0,0,c.w.0-c.0,1.38000063052,5.52000252208,c.w.0-c.0,,,,,deladmix,-7.31176199131,-5.52000252208,-0.69314718056,-1.09861228867,1,1
109,109,-7.31176199131,0.0514052681011,0,c.w.0-c.0,0.927728141549,6.49409699084,a.w.w-c.w.0.w-c.w.0-c.0,2.0,1,1.3056476519417075,16.0,addadmix,-12.0925189498,-6.49409699084,-1.38629436112,-4.21212759788,1,1
110,110,-6.61532604863,1.0,0,c.w.0-c.0,1.20589164485,4.8235665794,c.w.0-c.0,,,,,regraft,-6.61532604863,-4.8235665794,-0.69314718056,-1.09861228867,1,1
111,111,-6.61532604863,0.0341972083377,0,c.w.0-c.0,0.821785859729,5.7525010181,a.w.w-w.w.c.2-c.w.0-c.0,2.0,1,2.0533156544730251,16.0,addadmix,-11.3509229771,-5.7525010181,-1.38629436112,-4.21212759788,1,1
112,112,-6.63560814348,0.979922203307,0,c.w.0-c.0,1.21096216856,4.84384867425,c.w.0-c.0,,,,,rescale,-6.63560814348,-4.84384867425,-0.69314718056,-1.09861228867,1,1
113,113,-6.65982115993,0.976077766986,0,c.w.0-c.0,1.21701542268,4.86806169071,c.w.0-c.0,,,,,rescale,-6.65982115993,-4.86806169071,-0.69314718056,-1.09861228867,1,1
114,114,-6.65982115993,1.0,0,c.w.0-c.0,1.21701542268,4.86806169071,c.w.0-c.0,,,,,regraft,-6.65982115993,-4.86806169071,-0.69314718056,-1.09861228867,1,1
115,115,-6.63084601461,1.02939900878,0,c.w.0-c.0,1.20977163634,4.83908654538,c.w.0-c.0,,,,,rescale,-6.63084601461,-4.83908654538,-0.69314718056,-1.09861228867,1,1
116,116,-6.63084601461,0.76528712865,0,c.w.0-c.0,0.7300505557,5.1103538899,w.w.a-c.w.0.w-c.w.0-c.0,2.0,1,0.1771100286758216,16.0,addadmix,-10.7087758489,-5.1103538899,-1.38629436112,-4.21212759788,1,1
117,117,-6.63084601461,0.0065908197556,0,c.w.0-c.0,0.921735684774,6.45214979342,a.w.w-c.c.0.1-c.0,2.0,1,5.3751869145331588,16.0,addadmix,-12.0505717524,-6.45214979342,-1.38629436112,-4.21212759788,1,1
